,Platform,Year,Genre,Global_Sales
8293,3DS,2016,Role-Playing,0.17
13647,PS4,2016,Action,0.04
13596,3DS,2016,Misc,0.04
13602,PSV,2016,Action,0.04
13614,PS4,2016,Misc,0.04
13620,PS3,2016,Action,0.04
4658,3DS,2016,Action,0.42
13650,XOne,2016,Action,0.04
13562,PC,2016,Adventure,0.04
13702,PS4,2016,Strategy,0.04
13763,XOne,2016,Fighting,0.04
13789,PS3,2016,Role-Playing,0.04
4513,WiiU,2016,Misc,0.43
4820,XOne,2016,Sports,0.4
13529,XOne,2016,Sports,0.04
16344,PC,2016,Simulation,0.01
16323,PC,2016,Racing,0.01
13508,PS4,2016,Racing,0.04
13492,PS3,2016,Sports,0.04
13490,XOne,2016,Action,0.04
13487,PS4,2016,Misc,0.04
5015,XOne,2016,Racing,0.38
13436,PC,2016,Shooter,0.05
13435,PS4,2016,Platform,0.05
5056,PS3,2016,Sports,0.38
5096,PS4,2016,Adventure,0.37
5104,PC,2016,Shooter,0.37
5172,PS4,2016,Action,0.36
5268,XOne,2016,Role-Playing,0.35
4509,PC,2016,Shooter,0.43
4430,XOne,2016,Shooter,0.44
13845,3DS,2016,Adventure,0.04
13267,PSV,2016,Action,0.05
3648,3DS,2016,Action,0.55
3746,PS4,2016,Action,0.54
14313,PSV,2016,Fighting,0.03
14306,3DS,2016,Platform,0.03
14301,3DS,2016,Action,0.03
16276,XOne,2016,Racing,0.01
14233,PS4,2016,Racing,0.03
14201,PSV,2016,Sports,0.03
14186,XOne,2016,Action,0.03
3927,XOne,2016,Action,0.51
14178,PS3,2016,Misc,0.03
14138,PS4,2016,Shooter,0.03
14092,PS4,2016,Adventure,0.04
16290,PSV,2016,Adventure,0.01
14073,PSV,2016,Action,0.04
14005,3DS,2016,Adventure,0.04
13994,XOne,2016,Shooter,0.04
13981,3DS,2016,Misc,0.04
4261,3DS,2016,Action,0.46
13950,XOne,2016,Shooter,0.04
4350,PS4,2016,Shooter,0.45
13886,PSV,2016,Action,0.04
13885,PS4,2016,Misc,0.04
13881,PS4,2016,Sports,0.04
13871,XOne,2016,Action,0.04
13868,PSV,2016,Misc,0.04
16319,PSV,2016,Action,0.01
5288,WiiU,2016,Shooter,0.35
13232,PS3,2016,Sports,0.05
5922,PS4,2016,Role-Playing,0.3
12683,3DS,2016,Misc,0.06
6087,PC,2016,Role-Playing,0.29
6124,PS4,2016,Fighting,0.28
12644,PS4,2016,Role-Playing,0.06
6136,PS4,2016,Sports,0.28
12631,PS3,2016,Misc,0.06
12616,3DS,2016,Action,0.06
6157,XOne,2016,Fighting,0.28
12591,PSV,2016,Action,0.06
12579,XOne,2016,Action,0.06
6203,PS4,2016,Action,0.28
6205,PS4,2016,Sports,0.28
16429,XOne,2016,Simulation,0.01
12563,PS3,2016,Action,0.06
16431,PSV,2016,Adventure,0.01
12523,PS4,2016,Shooter,0.06
12488,PS3,2016,Role-Playing,0.06
12450,PSV,2016,Adventure,0.06
